Triciclo; 17.290 ;;; 120 ;Capacete; 765 ; 314 ; 451 ; 1.851 ;;; 50 ; -   ; -   ; -   ; 815 ; -   ; -   ; -   ; -   ; 50 ; -   ; 865 ; 100 ; 100 ; 100 ; 100 ; 100 ; 245 ; 1.120 ; 100 ; 100 ; 100 ; 100 ; 100 ; 46 ; 1.574 ; 100 ; 100 ; 100 ; -   ; -   ; 23 ; 1.851 ;; 1.400 ;;
Capacete; 1.851 ;;; 850 ;Triciclo; 8.219 ; 2.929 ; 5.290 ; 17.290 ;;; 750 ; -   ; -   ; -   ; 8.969 ; -   ; -   ; -   ; -   ; -   ; -   ; 8.969 ; 750 ; 750 ; 750 ; 750 ; 750 ; 1.485 ; 11.234 ; 750 ; 750 ; 750 ; 750 ; 750 ; 685 ; 14.299 ; 750 ; 750 ; 750 ; 750 ; 750 ; 759 ; 17.290 ;; 12.000 ;;
;;;;;; 74.722 ; 59.410 ; 15.312 ; 99.951 ;;;;;;; 75.928 ;;;;;;; 76.540 ;;;;;;; 75.333 ;;;;;;; 87.668 ;;;;;;; 99.951 ;;;;
Linha;Descricao Familia;Codigo Produto;Compl. 1;Compl. 2;Descricao Produto;Estoque;Pedidos;Saldo; Saldo Final ;%historico;%real;APONTAMENTO;;02/mai;Pedidos Semana 18;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 19;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 20;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 21;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 22;Saldo;;Previsão Produção;;
Aro 12;BICICLETA NATHOR ARO 12;100010160051; ; ;BICICLETA ARO 12 ANTONELLA BABY ROSA 02;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160026;;;BICICLETA ARO 12 AQUA 2;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160000;;;BICICLETA ARO 12 ABSOLUTE KIDS DINO;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160001;;;BICICLETA ARO 12 ABSOLUTE KIDS UNIC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160002;;;BICICLETA ARO 12 ABSOLUTE KIDS TUBA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160003;;;BICICLETA ARO 12 ABSOLUTE KIDS PRINC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;;100690160001;;;BICICLETA ARO 12 ALEGRIA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;;101350160000;;;BICICLETA ARO 12 BARBIE;2832; 467 ; 2.365 ; 2.365 ;;8,96%;;;; -   ; 2.832 ;;;;;; -   ; 2.832 ;;;;;; 178 ; 2.654 ;;;;;; 46 ; 2.608 ;;;;;; 243 ; 2.365 ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160035; ; ;BICICLETA ARO 12 BLACK 12 4;559; 5.293 ;-4.734 ; 466 ;15,12%;1,77%;;;; -   ; 559 ;;;;;; -   ; 559 ;;;;;; 1.290 ;-731 ;;1700;3300;200;; 3.379 ; 1.090 ;;;;;; 624 ; 466 ; -   ;5200;;
Aro 12;BICICLETA NATHOR ARO 12;100010160039; ; ;BICICLETA ARO 12 CAT 01 SELIM PU;3195; 1.446 ; 1.749 ; 1.830 ;4,63%;6,93%;81;;; -   ; 3.276 ;;;;;; -   ; 3.276 ;;;;;; 1.082 ; 2.194 ;;;;;; 188 ; 2.006 ;;;;;; 176 ; 1.830 ; -   ;81;;
Aro 12;BICICLETA CALOI ARO 12;100150160020;;;BICICLETA ARO 12 CECIZINHA 2023;1291; 151 ; 1.140 ; 1.140 ;0,88%;4,32%;;;; -   ; 1.291 ;;;;;; -   ; 1.291 ;;;;;; 11 ; 1.280 ;;;;;; 139 ; 1.141 ;;;;;; 1 ; 1.140 ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160050; ; ;BICICLETA ARO 12 CHARM;633; 1.316 ;-683 ; 817 ;5,35%;3,10%;;;; -   ; 633 ;;;;;; -   ; 633 ;;;;;; 302 ; 331 ;;;;;; 200 ; 131 ;1500;;;;; 814 ; 817 ; -   ;1500;;
Aro 12;BICICLETA WCA ARO 12;100730160001;;;BICICLETA ARO 12 DINOSSAURO;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA CICLO CAIRU ARO 12;100170160014;;;BICICLETA ARO 12 FEMININA LILLY 03;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA CICLO CAIRU ARO 12;100170160010; ; ;BICICLETA ARO 12 FEMININA VIOLETA 02;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160036; ; ;BICICLETA ARO 12 FIRE MAN 10;0; 6 ;-6 ;-6 ;9,78%;-0,02%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; 1 ;-1 ;;;;;; 5 ;-6 ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160054;;;BICICLETA ARO 12 FIRE MAN 11;1789; 2.727 ;-938 ; 2.382 ;9,78%;9,03%;20;;; -   ; 1.809 ;;;;;; -   ; 1.809 ;;;;;; 1.564 ; 245 ;;;;;; 822 ;-577 ;;;;;3300; 341 ; 2.382 ;;3320;;
Aro 12;BICICLETA NATHOR ARO 12;100010160038; ; ;BICICLETA ARO 12 FLOWER 11;539; 11.366 ;-10.827 ; 2.926 ;22,65%;11,09%;153;;; -   ; 692 ;;;;;; -   ; 692 ;2900;3300;800;;; 5.098 ; 2.594 ;;;;;; 1.364 ; 1.230 ;;;3300;3300;; 4.904 ; 2.926 ; -   ;13753;;
Aro 12;;;;;BICICLETA ARO 12 GTS FEMININA;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;;;;;BICICLETA ARO 12 GTS MASCULINA VERDE;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA DISNEY ARO 12;101350160001;;;BICICLETA ARO 12 HOT WHEELS;23; 510 ;-487 ; 2.113 ;;8,01%;;;; -   ; 23 ;;;;;; -   ; 23 ;;;;;; 51 ;-28 ;;;;1300;1300; 186 ; 2.386 ;;;;;; 273 ; 2.113 ; -   ;2600;;
Aro 12;;100620160000;;;BICICLETA ARO 12 INFANTI PT/VD;0; 1.800 ;-1.800 ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; 550 ;-550 ;;;;1800;; -   ; 1.250 ;;;;;; 1.250 ; -   ; -   ;1800;;
Aro 12;;100620160001;;;BICICLETA ARO 12 INFANTI RS/VD;0; 1.800 ;-1.800 ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; 550 ;-550 ;;;;;; -   ;-550 ;1800;;;;; 1.250 ; -   ; -   ;1800;;
Aro 12;BICICLETA NATHOR ARO 12;100720160000;;;BICICLETA ARO 12 KIKO E KIKA FEMININA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA KIKO E KIKA ARO 12;100720160001;;;BICICLETA ARO 12 KIKO E KIKA MASCULINA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA CICLO CAIRU ARO 12;100170160016;;;BICICLETA ARO 12 MASCULINA BIG BOY 03;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA CICLO CAIRU ARO 12;100170160017; ; ;BICICLETA ARO 12 MASCULINA LION 03;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA CICLO CAIRU ARO 12;100170160018;;;BICICLETA ARO 12 MASCULINA WATER MAN 03;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160047; ; ;BICICLETA ARO 12 MECHANIC;891; 1.616 ;-725 ; 2.775 ;5,37%;10,52%;;;; -   ; 891 ;;;;;; -   ; 891 ;;;;;2100; 1.089 ; 1.902 ;1400;;;;; 354 ; 2.948 ;;;;;; 173 ; 2.775 ; -   ;3500;;
Aro 12;BICICLETA DISNEY ARO 12;101260160002;;;BICICLETA ARO 12 MICKEY;117; 772 ;-655 ; 1.095 ;2,16%;4,15%;;;; -   ; 117 ;;;;;; -   ; 117 ;;;;;; 119 ;-2 ;150;1600;;;; 645 ; 1.103 ;;;;;; 8 ; 1.095 ; -   ;1750;;
Aro 12;BICICLETA DISNEY ARO 12;;;;BICICLETA ARO 12 MINNIE;976; 366 ; 610 ; 2.360 ;;8,94%;;;; -   ; 976 ;;;;;; -   ; 976 ;;;;;; 314 ; 662 ;1750;;;;; 44 ; 2.368 ;;;;;; 8 ; 2.360 ; -   ;1750;;
Aro 12;BICICLETA MILANO ARO 12;101270160000;;;BICICLETA ARO 12 MILANO BELLA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA MILANO ARO 12;101270160001;;;BICICLETA ARO 12 MILANO NINO AZUL;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA MILANO ARO 12;101270160002;;;BICICLETA ARO 12 MILANO NINO VERMELHA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160048; ; ;BICICLETA ARO 12 MOTOR X;426; 395 ; 31 ; 31 ;3,00%;0,12%;;;; -   ; 426 ;;;;;; -   ; 426 ;;;;;; 165 ; 261 ;;;;;; 58 ; 203 ;;;;;; 172 ; 31 ; -   ;0;;
Aro 12;BICICLETA MILANO ARO 13;;;;BICICLETA ARO 12 PET'S;0; -   ; -   ; 2.000 ;;7,58%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;2000; -   ; 2.000 ;;;;;; -   ; 2.000 ; -   ;2000;;
Aro 12;BICICLETA CALOI ARO 12;100150160021;;;BICICLETA ARO 12 POWER REX 2023;1456; 71 ; 1.385 ; 1.385 ;0,75%;5,25%;;;; -   ; 1.456 ;;;;;; -   ; 1.456 ;;;;;; 55 ; 1.401 ;;;;;; 5 ; 1.396 ;;;;;; 11 ; 1.385 ; -   ;0;;
Aro 12;BICICLETA DISNEY ARO 12;101260160001;;;BICICLETA ARO 12 PRINCESAS;4699; 1.544 ; 3.155 ; 3.355 ;3,44%;12,71%;;;; -   ; 4.699 ;;;;;; -   ; 4.699 ;200;;;;; 510 ; 4.389 ;;;;;; 1.029 ; 3.360 ;;;;;; 5 ; 3.355 ; -   ;200;;
Aro 12;BICICLETA WCA ARO 12;100730160000;;;BICICLETA ARO 12 SEREIA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA DISNEY ARO 12;101260160000;;;BICICLETA ARO 12 SPIDER MAN;2994; 4.161 ;-1.167 ; 2.133 ;9,87%;8,08%;;;; -   ; 2.994 ;;;;;; -   ; 2.994 ;;;;;; 1.697 ; 1.297 ;;;;;; 1.364 ;-67 ;;3300;;;; 1.100 ; 2.133 ; -   ;3300;;
Aro 12;BICICLETA DISNEY ARO 12;101260160004;;;BICICLETA ARO 12 STITCH;4725; 4.129 ; 596 ; 596 ;1,45%;2,26%;;;; -   ; 4.725 ;;;;;; -   ; 4.725 ;;;;;; 3.170 ; 1.555 ;;;;;; 700 ; 855 ;;;;;; 259 ; 596 ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160040; ; ;BICICLETA ARO 12 VELOZ 2;354; 3.075 ;-2.721 ; 4.279 ;8,14%;16,21%;;;; -   ; 354 ;;;;;; -   ; 354 ;;;2500;3300;1200; 2.162 ; 5.192 ;;;;;; 301 ; 4.891 ;;;;;; 612 ; 4.279 ; -   ;7000;;
Aro 12;BICICLETA NATHOR ARO 12;100010160052;;;BICICLETA ARO 12 VIOLET 4;3838; 2.652 ; 1.186 ; 1.186 ;7,42%;4,49%;;;; -   ; 3.838 ;;;;;; -   ; 3.838 ;;;;;; 1.213 ; 2.625 ;;;;;; 1.199 ; 1.426 ;;;;;; 240 ; 1.186 ; -   ;0;;
Aro 12;BICICLETA ARO 12 XICORIA;100320160002; ; ;BICICLETA ARO 12 XICORIA BOY MOD 02;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ARO 12 XICORIA;100320160003; ; ;BICICLETA ARO 12 XICORIA GIRL MOD 02;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA HOUSTON;100040160007; ; ;KIT BICICLETA ARO 12 FEMININA BRANCA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA HOUSTON;100040160008; ; ;KIT BICICLETA ARO 12 FEMININA ROSA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA HOUSTON;100040160009; ; ;KIT BICICLETA ARO 12 MASCULINA BRANCA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA HOUSTON;100040160010; ; ;KIT BICICLETA ARO 12 MASCULINA VERMELHA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;;;;;BICICLETA FIAT FEMININA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;;;;;BICICLETA FIAT MASCULINA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 14;BICICLETA DECATHLON ARO 14;100190160006; ; ;BICICLETA ARO 14 BTWIN 500 MINI MONSTER;290; 1 ; 289 ; 289 ;;;;;; -   ; 290 ;;;;;; -   ; 290 ;;;;;; 1 ; 289 ;;;;;; -   ; 289 ;;;;;; -   ; 289 ; -   ;0;;
Aro 14;BICICLETA DECATHLON ARO 14;100190160003; ; ;"BICICLETA ARO 14 BTWIN ROBOT 14""";72; 601 ;-529 ;-529 ;;;;;; -   ; 72 ;;;;;; -   ; 72 ;;;;;; 601 ;-529 ;;;;;; -   ;-529 ;;;;;; -   ;-529 ; -   ;0;;
Aro 14;BICICLETA DECATHLON ARO 14;100190160004; ; ;"BICICLETA ARO 14 BTWIN UNICORN 14""";0; 301 ;-301 ; 99 ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; 1 ;-1 ;;50;50;50;50; 300 ;-101 ;50;50;50;50;; -   ; 99 ; -   ;400;;
Aro 14;BICICLETA CALOI ARO 14;100340160002;;;BICICLETA ARO 14 CECIZINHA MOD 2022;0; -   ; -   ; -   ;;0%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 14;BICICLETA CALOI ARO 14;100340160004;;;BICICLETA ARO 14 CECIZINHA MOD 2024;402; 7 ; 395 ; 395 ;9,22%;10%;;;; -   ; 402 ;;;;;; -   ; 402 ;;;;;; 5 ; 397 ;;;;;; 1 ; 396 ;;;;;; 1 ; 395 ; -   ;0;;
Aro 14;BICICLETA NATHOR ARO 14;100160160006;0001; ;BICICLETA ARO 14 FIRST PRO FEMININA 03;0; -   ; -   ; -   ;36,87%;0%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 14;BICICLETA NATHOR ARO 14;100160160008;;;BICICLETA ARO 14 FIRST PRO FEMININA 4;907; 23 ; 884 ; 884 ;;23%;;;; -   ; 907 ;;;;;; -   ; 907 ;;;;;; 18 ; 889 ;;;;;; -   ; 889 ;;;;;; 5 ; 884 ; -   ;0;;
Aro 14;BICICLETA NATHOR ARO 14;100160160010;;;BICICLETA ARO 14 FIRST PRO FEMININA 5;250; -   ; 250 ; 250 ;;7%;;;; -   ; 250 ;;;;;; -   ; 250 ;;;;;; -   ; 250 ;;;;;; -   ; 250 ;;;;;; -   ; 250 ;;0;;
Aro 14;BICICLETA NATHOR ARO 14;100160160003;0001; ;BICICLETA ARO 14 FIRST PRO MASCULINA 02;0; -   ; -   ; -   ;44,89%;0%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 14;BICICLETA NATHOR ARO 14;100160160007;;;BICICLETA ARO 14 FIRST PRO MASCULINA 3;1506; 36 ; 1.470 ; 1.540 ;;41%;;;; -   ; 1.506 ;;;;;43; -   ; 1.549 ;27;;;;; 31 ; 1.545 ;;;;;; -   ; 1.545 ;;;;;; 5 ; 1.540 ; -   ;70;;
Aro 14;BICICLETA NATHOR ARO 14;100160160009;;;BICICLETA ARO 14 FIRST PRO MASCULINA 4;0; -   ; -   ; 273 ;;7%;;;; -   ; -   ;;;;;; -   ; -   ;23;50;50;50;50; -   ; 223 ;50;;;;; -   ; 273 ;;;;;; -   ; 273 ;;273;;
Aro 14;BICICLETA CALOI ARO 14;100340160005;;;BICICLETA ARO 14 ZIGBIM MOD 2024;446; 5 ; 441 ; 441 ;9,02%;12%;;;; -   ; 446 ;;;;;; -   ; 446 ;;;;;; 4 ; 442 ;;;;;; 1 ; 441 ;;;;;; -   ; 441 ; -   ;0;;
Aro 14;BICICLETA CALOI ARO 14;100340160003;;;BICICLETA ARO 14 ZIGBIM MOD 2022;0; -   ; -   ; -   ;;0%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 16;BICICLETA NATHOR ARO 16;100790160000;;;BICICLETA ARO 16 ABSOLUTE KIDS DINO;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 16;BICICLETA NATHOR ARO 16;100790160001;;;BICICLETA ARO 16 ABSOLUTE KIDS UNIC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 16;BICICLETA NATHOR ARO 16;100130160019;;;BICICLETA ARO 16 ANTONELLA ABS VERDE;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 16;BICICLETA NATHOR ARO 16;100130160021; ; ;BICICLETA ARO 16 APOLLO 3;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 16;BICICLETA NATHOR ARO 16;100130160029;;;BICICLETA ARO 16 APOLLO 4;446; 79 ; 367 ; 1.027 ;3,12%;6,85%;;;; -   ; 446 ;;;;;; -   ; 446 ;660;;;;; 65 ; 1.041 ;;;;;; 11 ; 1.030 ;;;;;; 3 ; 1.027 ; -   ;660;;
Aro 16;BICICLETA NATHOR ARO 16;101250160005;;;BICICLETA ARO 16 ARIEL;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 16;BICICLETA DISNEY ARO 16;101360160000;;;BICICLETA ARO 16 BARBIE;243; 330 ;-87 ; 573 ;;3,82%;;;; -   ; 243 ;;;;;; -   ; 243 ;;;;;; 281 ;-38 ;;;;;; 29 ;-67 ;660;;;;; 20 ; 573 ; -   ;660;;
Aro 16;BICICLETA DECATLHON ARO 16;100280160013;;;BICICLETA ARO 16 BTWIN AMARELA;0; 250 ;-250 ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; 250 ;-250 ;;250;;;; -   ; -   ; -   ;250;;
