;;;; 6.035 ;; 74.722 ; 59.410 ; 15.312 ; 99.951 ;;; 1.206 ;;;; 75.928 ;;;;;;; 76.540 ;;;;;;; 75.333 ;;;;;;; 87.668 ;;;;;;; 99.951 ;;;;
;;;;Meta;Linha;Estoque;Pedidos;Saldo;Saldo Final;;;APONTAMENTO;;02/mai;Pedidos Semana 18;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 19;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 20;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 21;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 22;Saldo;;Previsão Produção;;
Maio;cálculo de % estoque bikes Nathor;;; 3.500 ;Aro 12; 31.337 ; 45.663 ;-14.326 ; 35.228 ;;; 254 ; -   ; -   ; -   ; 31.591 ; -   ; -   ; -   ; -   ; -   ; -   ; 31.591 ; 3.100 ; 3.300 ; 3.300 ; 3.300 ; 3.300 ; 21.170 ; 26.721 ; 3.300 ; 3.300 ; 3.300 ; 3.300 ; 3.300 ; 12.024 ; 31.197 ; 3.300 ; 3.300 ; 3.300 ; 3.300 ; 3.300 ; 12.469 ; 35.228 ;; 49.554 ;;
Aro 12; 26.390 ;;; 50 ;Aro 14; 3.873 ; 974 ; 2.899 ; 3.642 ;;; -   ; -   ; -   ; -   ; 3.873 ; -   ; -   ; -   ; -   ; 43 ; -   ; 3.916 ; 50 ; 50 ; 50 ; 50 ; 50 ; 661 ; 3.505 ; 50 ; 50 ; 50 ; 50 ; 50 ; 302 ; 3.453 ; 50 ; 50 ; 50 ; 50 ; -   ; 11 ; 3.642 ;; 743 ;;
Aro 14; 3.783 ;;; 660 ;Aro 16; 12.022 ; 4.373 ; 7.649 ; 17.769 ;;; 62 ; -   ; -   ; -   ; 12.084 ; -   ; -   ; -   ; -   ; 478 ; -   ; 12.562 ; 660 ; 660 ; 660 ; 660 ; 660 ; 2.515 ; 13.347 ; 660 ; 660 ; 660 ; 660 ; 660 ; 1.302 ; 15.345 ; 660 ; 500 ; 500 ; 660 ; 660 ; 556 ; 17.769 ;; 10.120 ;;
Aro 16; 14.999 ;;; 200 ;Aro 20; 1.850 ; 2.631 ;-781 ; 1.385 ;;; -   ; -   ; -   ; -   ; 1.850 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.850 ; 146 ; 150 ; 150 ; 150 ; 150 ; 1.899 ; 697 ; 150 ; 150 ; 120 ; 100 ; 150 ; 382 ; 985 ; 150 ; 150 ; 150 ; 150 ; 150 ; 350 ; 1.385 ;; 2.166 ;;
Aro 20; 1.734 ;;; -   ;Aro 24; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Aro 24; 23 ;;; 5 ;Aro 26; 13 ; 26 ;-13 ; 22 ;;; 10 ; -   ; -   ; -   ; 23 ; -   ; -   ; -   ; -   ; -   ; -   ; 23 ; 5 ; 5 ; 5 ; 5 ; -   ; 17 ; 26 ; -   ; -   ; -   ; -   ; -   ; 9 ; 17 ; -   ; -   ; -   ; -   ; 5 ; -   ; 22 ;; 35 ;;
Aro 26; 22 ;;; -   ;Aro 29; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Balance; 21.604 ;;; 650 ;Balance; 16.643 ; 2.500 ; 14.143 ; 22.764 ;;; 80 ; -   ; -   ; -   ; 16.723 ; -   ; -   ; -   ; -   ; 41 ; -   ; 16.764 ; 550 ; 550 ; 550 ; 550 ; 575 ; 856 ; 18.683 ; 575 ; 575 ; 575 ; 575 ; 575 ; 760 ; 20.798 ; 575 ; 575 ; 575 ; 575 ; 550 ; 884 ; 22.764 ;; 8.621 ;;
