Programação Maio - Revisão 07;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
;3.100;PRINCESAS;;08/mai;43;MASCULINA;;08/mai;478;SPIDER MAN;
12/mai;400;PRINCESAS;;09/mai;50;MASCULINA;;09/mai;660;SPIDER MAN;
;2.900;FLOWER;;12/mai;27;MASCULINA;;12/mai;660;APOLLO;
13/mai;3.300;FLOWER;;;23;MASCULINA 4;;13/mai;660;TECH BOYS;
14/mai;800;FLOWER;;13/mai;50;MASCULINA 4;;14/mai;660;TECH BOYS;
;2.500;VELOZ;;14/mai;50;MASCULINA 4;;15/mai;660;HOT WHEELS;
15/mai;3.300;VELOZ;;15/mai;50;MASCULINA 4;;16/mai;245;EXTREME;
16/mai;1.200;VELOZ;;16/mai;50;MASCULINA 4;;;415;INFANTI LARANJA;
;2.100;MECHANIC - roda m 12 ;;19/mai;50;MASCULINA 4;;19/mai;415;INFANTI ROSA;
19/mai;1.400;MECHANIC - roda m 12 ;;20/mai;50;UNICORN;;;245;TOP GIRLS;
;1.750;MINNIE;;21/mai;50;UNICORN;;20/mai;660;LADY;
;150;MICKEY;;22/mai;50;UNICORN;;21/mai;660;HOT WHEELS;
20/mai;1.600;MICKEY;;23/mai;50;UNICORN;;22/mai;660;UNICORN NATHOR;
;1.700;BLACK;;26/mai;50;UNICORN;;23/mai;660;PRINCESAS;
21/mai;3.300;BLACK;;27/mai;50;UNICORN;;26/mai;660;BARBIE;
22/mai;200;BLACK;;28/mai;50;UNICORN;;27/mai;250;BTWIN AMARELA;
;1.800;INFANTI PT/VERDE;;29/mai;50;UNICORN;;;250;BTWIN PRATA/VERMELHA;
;1.300;HOT WHEELS;;30/mai;50;UNICORN;;28/mai;50;BTWIN PRATA/VERMELHA;
23/mai;1.300;HOT WHEELS;;;;;;;100;DARK;
;829;PETS;;;;;;;350;HOMEM DE FERRO;
26/mai;1.800;INFANTI RS/VD;;;;;;29/mai;415;GTS FEMININA;
;1.500;CHARM;;;;;;;245;GTS MASCULINA;
27/mai;3.300;SPIDER MAN;;;;;;30/mai;170;GTS MASCULINA;
28/mai;3.300;FLOWER;;;;;;;490;CAPITAO AMERICA;
29/mai;3.300;FLOWER;;;;;;;;;
30/mai;3.300;FIREMAN;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 07;;;;;;;;;;;
Bicicletas aro 20;;;;Bicicletas Balance;;;;Triciclo;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
09/mai;146;APOLLO;;;68;MASCULINA;;09/mai;750;BOY;
12/mai;150;HOT WHEELS;;09/mai;550;MASCULINA;;12/mai;750;BOY;
13/mai;50;HOT WHEELS;;12/mai;550;MASCULINA;;13/mai;750;BOY;
;100;BOLT;;13/mai;550;MASCULINA;;14/mai;750;GIRL;
14/mai;100;BOLT;;14/mai;550;MASCULINA;;15/mai;750;GIRL;
;50;BELLA;;15/mai;550;MASCULINA;;16/mai;750;GIRL;
15/mai;150;BELLA;;16/mai;550;MASCULINA;;19/mai;750;GIRL;
16/mai;150;BELLA;;19/mai;550;CALOI VERMELHA;;20/mai;750;GIRL;
19/mai;150;BARBIE;;20/mai;550;CALOI VERMELHA;;21/mai;750;GIRL;
20/mai;50;BARBIE;;21/mai;550;FAST;;22/mai;750;GIRL;
;100;LOVELY;;22/mai;550;FAST;;23/mai;750;GIRL;
21/mai;120;ANTONELLA ROSA;;23/mai;550;LOVE;;26/mai;750;KIDS 5;
22/mai;100;ORIGINAL 500;;26/mai;550;LOVE;;27/mai;750;KIDS 5;
23/mai;150;ORIGINAL 120 ROSA;;27/mai;200;ROSA / MARROM 2022;;28/mai;750;PRINCESAS;
