Programação Maio - Revisão 05;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
06/mai;200;APOLLO;;07/mai;650;MASCULINA;;07/mai;850;BOY;
07/mai;200;HOT WHEELS;;08/mai;650;MASCULINA;;08/mai;850;BOY;
08/mai;200;BOLT;;09/mai;650;MASCULINA;;09/mai;850;BOY;
09/mai;200;BELLA;;12/mai;650;MASCULINA;;12/mai;850;BOY;
12/mai;200;BELLA;;13/mai;650;CALOI VERMELHA;;13/mai;850;BOY;
13/mai;200;BELLA;;14/mai;650;CALOI VERMELHA;;14/mai;850;GIRL;
14/mai;200;BARBIE;;15/mai;650;FAST;;15/mai;850;GIRL;
15/mai;200;LOVELY;;16/mai;650;FAST;;16/mai;850;GIRL;
16/mai;200;LOVELY;;19/mai;650;LOVE;;19/mai;850;GIRL;
19/mai;150;ANTONELLA ROSA;;20/mai;650;LOVE;;20/mai;850;GIRL;
20/mai;150;ANTONELLA VERDE;;21/mai;200;ROSA / MARROM 2022;;21/mai;850;GIRL;
21/mai;100;ORIGINAL 500;;;450;FEMININA;;22/mai;850;GIRL;
;50;MISTIGIRL;;22/mai;650;FEMININA;;23/mai;850;GIRL;
22/mai;150;MISTIGIRL;;23/mai;650;FEMININA;;26/mai;850;KIDS 5;
;50;ORIGINAL 120 ROSA;;26/mai;650;ROCKET ASTRO;;27/mai;850;KIDS 5;
23/mai;200;ORIGINAL 120 ROSA;;27/mai;650;CALOI VERMELHA;;28/mai;850;PRINCESAS;
26/mai;50;ORIGINAL 120 ROSA;;28/mai;650;FAST;;29/mai;850;SPIDER MAN;
;150;BARBIE;;29/mai;650;SPIDER MAN;;30/mai;850;HONEY BEE;
27/mai;200;LOVELY;;30/mai;650;PRINCESAS;;;;;
28/mai;200;HOT WHEELS;;;;;;;;;
29/mai;100;RACING BOYS;;;;;;;;;
;100;APOLLO;;;;;;;;;
30/mai;200;APOLLO;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 05;;;;;;;;;;;
CAPACETE;;;;Bicicletas aro 26;;;;;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;;;;
02/mai;100;POLIPLAC VERMELHO;;02/mai;5;ROSA;;;;;
;20;PRINCESAS;;05/mai;25;RAIADA LARANJA;;;;;
05/mai;120;PRINCESAS;;06/mai;25;RAIADA LARANJA;;;;;
06/mai;120;AZUL;;07/mai;25;RAIADA LARANJA;;;;;
07/mai;120;MINNIE;;08/mai;25;RAIADA LILAS;;;;;
08/mai;120;STITCH;;09/mai;25;RAIADA LILAS;;;;;
09/mai;120;TURQUEZA;;12/mai;25;RAIADA ROSA;;;;;
12/mai;120;SPIDERMAN;;13/mai;25;RAIADA ROSA;;;;;
13/mai;120;SPIDERMAN;;14/mai;25;RAIADA AZUL;;;;;
14/mai;120;PRETO;;15/mai;25;RAIADA AZUL;;;;;
15/mai;120;ROSA ESCURO;;16/mai;25;RAIADA 900 AMARELO ( TINTA );;;;;
16/mai;120;PRINCESAS;;19/mai;5;PEROLA;;;;;
19/mai;120;AZUL;;20/mai;5;PEROLA;;;;;
20/mai;120;ROSA ESCURO;;21/mai;5;PEROLA;;;;;
21/mai;120;MINNIE;;22/mai;5;VERDE AQUA;;;;;
22/mai;120;UNICORNIO;;23/mai;5;VERDE AQUA;;;;;
23/mai;120;STITCH;;26/mai;5;VERDE AQUA;;;;;
26/mai;120;SPIDERMAN;;27/mai;5;ROSA;;;;;
27/mai;120;SPIDERMAN;;28/mai;5;ROSA;;;;;
28/mai;120;SPIDERMAN;;29/mai;5;ROSA;;;;;
29/mai;100;SUPORTE PAREDE;;30/mai;5;ROSA;;;;;
30/mai;100;SUPORTE PAREDE;;;;;;;;;
