Programação Maio - Revisão 05;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;3.500;CAT;;02/mai;50;ZIG BIM;;02/mai;660;BARBIE;
05/mai;3.500;VIOLET;;05/mai;50;ZIG BIM;;05/mai;660;EXTREME;
06/mai;3.500;STITCH;;06/mai;50;CECIZINHA;;06/mai;660;UNICORN NATHOR;
07/mai;3.500;SPIDER MAN;;07/mai;50;CECIZINHA;;07/mai;660;PIXIE;
08/mai;3.500;PRINCESAS;;08/mai;50;MASCULINA;;08/mai;660;SPIDER MAN;
09/mai;3.500;FLOWER;;09/mai;50;MASCULINA;;09/mai;660;SPIDER MAN;
12/mai;3.500;FLOWER;;12/mai;27;MASCULINA;;12/mai;660;APOLLO;
13/mai;3.500;VELOZ;;;23;MASCULINA 4;;13/mai;660;TECH BOYS;
14/mai;3.500;VELOZ;;13/mai;50;MASCULINA 4;;14/mai;660;TECH BOYS;
15/mai;3.500;MECHANIC - roda m 12 ;;14/mai;50;MASCULINA 4;;15/mai;660;HOT WHEELS;
16/mai;1.750;MINNIE;;15/mai;50;MASCULINA 4;;16/mai;245;EXTREME;
;1.750;MICKEY;;16/mai;50;MASCULINA 4;;;415;INFANTI LARANJA;
19/mai;3.500;BLACK;;19/mai;50;MASCULINA 4;;19/mai;415;INFANTI ROSA;
20/mai;2.250;BLACK;;20/mai;50;UNICORN;;;245;TOP GIRLS;
;1.250;INFANTI PT/VD;;21/mai;50;UNICORN;;20/mai;660;LADY;
21/mai;3.500;HOT WHEELS;;22/mai;50;UNICORN;;21/mai;660;HOT WHEELS;
22/mai;3.500;PETS;;23/mai;50;UNICORN;;22/mai;660;UNICORN NATHOR;
23/mai;1.250;INFANTI RS/VD;;26/mai;50;UNICORN;;23/mai;660;PRINCESAS;
;2.250;CHARM;;27/mai;50;UNICORN;;26/mai;660;BARBIE;
26/mai;3.500;SPIDER MAN;;28/mai;50;UNICORN;;27/mai;250;BTWIN AMARELA;
27/mai;3.500;FLOWER;;29/mai;50;UNICORN;;;200;BTWIN PRATA/VERMELHA;
28/mai;3.500;FLOWER;;30/mai;50;UNICORN;;;100;BTWIN PRATA/VERMELHA;
29/mai;3.500;FIREMAN;;;;;;28/mai;100;DARK;
30/mai;3.500;BLACK - roda m 12 ;;;;;;;350;HOMEM DE FERRO;
;;;;;;;;29/mai;660;CAPITAO AMERICA;
;;;;;;;;30/mai;660;TOP GIRLS;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 05;;;;;;;;;;;
Bicicletas aro 20;;;;Bicicletas Balance;;;;Triciclo;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;200;ORIGINAL 120 ROSA;;02/mai;650;CECIZINHA;;02/mai;850;BOY;
05/mai;100;ORIGINAL 120 ROSA;;05/mai;650;MASCULINA;;05/mai;850;BOY;
;100;APOLLO;;06/mai;650;MASCULINA;;06/mai;850;BOY;
