Programação Maio - Revisão 06;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
07/mai;3.390;STITCH;;;43;CECIZINHA;;;489;UNICORN NATHOR;
08/mai;3.300;SPIDER MAN;;07/mai;50;CECIZINHA;;07/mai;660;PIXIE;
09/mai;200;SPIDER MAN;;08/mai;50;MASCULINA;;08/mai;660;SPIDER MAN;
;3.100;PRINCESAS;;09/mai;50;MASCULINA;;09/mai;660;SPIDER MAN;
12/mai;400;PRINCESAS;;12/mai;27;MASCULINA;;12/mai;660;APOLLO;
;2.900;FLOWER;;;23;MASCULINA 4;;13/mai;660;TECH BOYS;
13/mai;3.300;FLOWER;;13/mai;50;MASCULINA 4;;14/mai;660;TECH BOYS;
14/mai;800;FLOWER;;14/mai;50;MASCULINA 4;;15/mai;660;HOT WHEELS;
;2.500;VELOZ;;15/mai;50;MASCULINA 4;;16/mai;245;EXTREME;
15/mai;3.300;VELOZ;;16/mai;50;MASCULINA 4;;;415;INFANTI LARANJA;
16/mai;1.200;VELOZ;;19/mai;50;MASCULINA 4;;19/mai;415;INFANTI ROSA;
;2.100;MECHANIC - roda m 12 ;;20/mai;50;UNICORN;;;245;TOP GIRLS;
19/mai;1.400;MECHANIC - roda m 12 ;;21/mai;50;UNICORN;;20/mai;660;LADY;
;1.750;MINNIE;;22/mai;50;UNICORN;;21/mai;660;HOT WHEELS;
;150;MICKEY;;23/mai;50;UNICORN;;22/mai;660;UNICORN NATHOR;
20/mai;1.600;MICKEY;;26/mai;50;UNICORN;;23/mai;660;PRINCESAS;
;1.700;BLACK;;27/mai;50;UNICORN;;26/mai;660;BARBIE;
21/mai;3.300;BLACK;;28/mai;50;UNICORN;;27/mai;250;BTWIN AMARELA;
22/mai;2.000;BLACK;;29/mai;50;UNICORN;;;250;BTWIN PRATA/VERMELHA;
;1.300;HOT WHEELS;;30/mai;50;UNICORN;;28/mai;50;BTWIN PRATA/VERMELHA;
23/mai;1.300;HOT WHEELS;;;;;;;100;DARK;
;2.000;PETS;;;;;;;350;HOMEM DE FERRO;
26/mai;3.300;CHARM;;;;;;29/mai;415;GTS FEMININA;
27/mai;3.300;SPIDER MAN;;;;;;;245;GTS MASCULINA;
28/mai;3.300;FLOWER;;;;;;30/mai;170;GTS MASCULINA;
29/mai;3.300;FLOWER;;;;;;;490;CAPITAO AMERICA;
30/mai;3.300;FIREMAN;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 06;;;;;;;;;;;
Bicicletas aro 20;;;;Bicicletas Balance;;;;Triciclo;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
07/mai;150;ORIGINAL 120 ROSA;;07/mai;100;PRINCESAS;;07/mai;750;BOY;
08/mai;150;APOLLO;;;450;CECIZINHA;;08/mai;750;BOY;
09/mai;150;APOLLO;;08/mai;200;CECIZINHA;;09/mai;750;BOY;
12/mai;150;HOT WHEELS;;;350;MASCULINA;;12/mai;750;BOY;
13/mai;50;HOT WHEELS;;09/mai;550;MASCULINA;;13/mai;750;BOY;
;100;BOLT;;12/mai;550;MASCULINA;;14/mai;750;GIRL;
14/mai;100;BOLT;;13/mai;550;MASCULINA;;15/mai;750;GIRL;
;50;BELLA;;14/mai;550;MASCULINA;;16/mai;750;GIRL;
15/mai;150;BELLA;;15/mai;550;MASCULINA;;19/mai;750;GIRL;
16/mai;150;BELLA;;16/mai;550;MASCULINA;;20/mai;750;GIRL;
19/mai;150;BARBIE;;19/mai;550;CALOI VERMELHA;;21/mai;750;GIRL;
20/mai;50;BARBIE;;20/mai;550;CALOI VERMELHA;;22/mai;750;GIRL;
;100;LOVELY;;21/mai;550;FAST;;23/mai;750;GIRL;
21/mai;120;ANTONELLA ROSA;;22/mai;550;FAST;;26/mai;750;KIDS 5;
22/mai;100;ORIGINAL 500;;23/mai;550;LOVE;;27/mai;750;KIDS 5;
23/mai;150;ORIGINAL 120 ROSA;;26/mai;550;LOVE;;28/mai;750;PRINCESAS;
26/mai;150;ORIGINAL 120 ROSA;;27/mai;200;ROSA / MARROM 2022;;29/mai;750;SPIDER MAN;
27/mai;150;BARBIE;;;350;FEMININA;;30/mai;750;HONEY BEE;
28/mai;150;MISTGIRL;;28/mai;550;FEMININA;;;;;
29/mai;50;MISTGIRL;;29/mai;550;FEMININA;;;;;
;100;HOT WHEELS;;30/mai;550;ROCKET ASTRO;;;;;
30/mai;100;HOT WHEELS;;;;;;;;;
;50;RACING BOYS;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 06;;;;;;;;;;;
CAPACETE;;;;Bicicletas aro 26;;;;;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;;;;
;55;PRINCESAS;;08/mai;4;VERDE AQUA;;;;;
07/mai;100;AZUL;;09/mai;5;VERDE AQUA;;;;;
08/mai;100;MINNIE;;12/mai;5;VERDE AQUA;;;;;
09/mai;100;STITCH;;13/mai;5;VERDE AQUA;;;;;
12/mai;100;TURQUEZA;;14/mai;5;ROSA;;;;;
13/mai;100;SPIDERMAN;;15/mai;5;ROSA;;;;;
14/mai;100;SPIDERMAN;;16/mai;25;RAIADA 900 AMARELO;;;;;
15/mai;100;PRETO;;19/mai;25;RAIADA LARANJA;;;;;
16/mai;100;PRINCESAS;;20/mai;25;RAIADA LARANJA;;;;;
19/mai;100;AZUL;;21/mai;25;RAIADA LARANJA;;;;;
20/mai;100;ROSA ESCURO;;22/mai;25;RAIADA LILAS;;;;;
21/mai;100;MINNIE;;23/mai;25;RAIADA LILAS;;;;;
22/mai;100;UNICORNIO;;26/mai;25;RAIADA ROSA;;;;;
23/mai;100;STITCH;;27/mai;25;RAIADA ROSA;;;;;
26/mai;100;SPIDERMAN;;28/mai;25;RAIADA AZUL;;;;;
27/mai;100;SPIDERMAN;;29/mai;25;RAIADA AZUL;;;;;
28/mai;100;SPIDERMAN;;30/mai;5;PEROLA;;;;;
29/mai;100;SUPORTE PAREDE;;;;;;;;;
30/mai;100;SUPORTE PAREDE;;;;;;;;;
;;;;;;;;;;;
