;;;; 6.035 ;; 64.235 ; 30.964 ; 33.271 ; 159.533 ;;; -   ;;;; 62.588 ;;;;;;; 88.504 ;;;;;;; 114.281 ;;;;;;; 135.105 ;;;;;;; 159.533 ;;;;
;;;;Meta;Linha;Estoque;Pedidos;Saldo;Saldo Final;;;APONTAMENTO;;02/mai;Pedidos Semana 18;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 19;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 20;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 21;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 22;Saldo;;Previsão Produção;;
Maio;cálculo de % estoque bikes Nathor;;; 3.500 ;Aro 12; 12.085 ; 22.767 ;-10.682 ; 62.818 ;;; -   ; -   ; 3.500 ; 5.094 ; 10.491 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.715 ; 24.276 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.352 ; 38.424 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 6.552 ; 49.372 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 4.054 ; 62.818 ;; 73.500 ;;
Aro 12; 48.665 ;;; 50 ;Aro 14; 3.777 ; 304 ; 3.473 ; 4.523 ;;; -   ; -   ; 50 ; -   ; 3.827 ; 50 ; 50 ; 50 ; 50 ; 50 ; -   ; 4.077 ; 50 ; 50 ; 50 ; 50 ; 50 ; 2 ; 4.325 ; 50 ; 50 ; 50 ; 50 ; 50 ; 302 ; 4.273 ; 50 ; 50 ; 50 ; 50 ; 50 ; -   ; 4.523 ;; 1.050 ;;
Aro 14; 4.136 ;;; 660 ;Aro 16; 15.114 ; 3.822 ; 11.292 ; 24.834 ;;; -   ; -   ; 660 ; 1.898 ; 13.876 ; 660 ; 660 ; 660 ; 660 ; 660 ; 125 ; 17.051 ; 660 ; 660 ; 660 ; 660 ; 660 ; 431 ; 19.920 ; 660 ; 660 ; 660 ; 450 ; 552 ; 1.172 ; 21.730 ; 660 ; 660 ; 660 ; 660 ; 660 ; 196 ; 24.834 ;; 13.542 ;;
Aro 16; 22.125 ;;; 200 ;Aro 20; 1.870 ; 1.286 ; 584 ; 4.634 ;;; -   ; -   ; 200 ; 614 ; 1.456 ; 200 ; 200 ; 200 ; 200 ; 200 ; 37 ; 2.419 ; 200 ; 200 ; 200 ; 200 ; 150 ; 246 ; 3.123 ; 150 ; 150 ; 200 ; 200 ; 200 ; 363 ; 3.660 ; 200 ; 200 ; 200 ; 200 ; 200 ; 26 ; 4.634 ;; 4.050 ;;
Aro 20; 3.743 ;;; -   ;Aro 24; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Aro 24; 59 ;;; 5 ;Aro 26; 12 ; 3 ; 9 ; 94 ;;; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; 5 ; 5 ; -   ; 22 ; 5 ; 5 ; 5 ; 5 ; 5 ; -   ; 47 ; 5 ; 5 ; 5 ; 5 ; 5 ; -   ; 72 ; 5 ; 5 ; 5 ; 5 ; 5 ; 3 ; 94 ;; 85 ;;
Aro 26; 94 ;;; -   ;Aro 29; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Balance; 31.913 ;;; 650 ;Balance; 20.119 ; 1.063 ; 19.056 ; 32.831 ;;; -   ; -   ; 675 ; 20 ; 20.774 ; 675 ; 675 ; 675 ; 650 ; 650 ; 21 ; 24.078 ; 650 ; 650 ; 650 ; 650 ; 650 ; 10 ; 27.318 ; 650 ; 650 ; 650 ; 675 ; 650 ; 56 ; 30.537 ; 650 ; 650 ; 650 ; 650 ; 650 ; 956 ; 32.831 ;; 13.775 ;;
Triciclo; 27.045 ;;; 120 ;Capacete; 673 ; 201 ; 472 ; 2.752 ;;; -   ; -   ; 120 ; 16 ; 777 ; 120 ; 120 ; 120 ; 120 ; 120 ; 100 ; 1.277 ; 120 ; 120 ; 120 ; 120 ; 120 ; 16 ; 1.861 ; 120 ; 120 ; 120 ; 120 ; 120 ; 69 ; 2.392 ; 120 ; 120 ; 120 ; -   ; -   ; -   ; 2.752 ;; 2.280 ;;
Capacete; 2.752 ;;; 850 ;Triciclo; 10.585 ; 1.518 ; 9.067 ; 27.047 ;;; -   ; -   ; 850 ; 60 ; 11.375 ; 850 ; 850 ; 850 ; 850 ; 850 ; 321 ; 15.304 ; 850 ; 980 ; 850 ; 850 ; 850 ; 421 ; 19.263 ; 850 ; 850 ; 850 ; 850 ; 850 ; 444 ; 23.069 ; 850 ; 850 ; 850 ; 850 ; 850 ; 272 ; 27.047 ;; 17.980 ;;
;;;;;; 64.235 ; 30.964 ; 33.271 ; 159.533 ;;;;;;; 62.588 ;;;;;;; 88.504 ;;;;;;; 114.281 ;;;;;;; 135.105 ;;;;;;; 159.533 ;;;;
Linha;Descricao Familia;Codigo Produto;Compl. 1;Compl. 2;Descricao Produto;Estoque;Pedidos;Saldo; Saldo Final ;%historico;%real;APONTAMENTO;;02/mai;Pedidos Semana 18;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 19;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 20;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 21;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 22;Saldo;;Previsão Produção;;
Aro 12;BICICLETA NATHOR ARO 12;100010160051; ; ;BICICLETA ARO 12 ANTONELLA BABY ROSA 02;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160026;;;BICICLETA ARO 12 AQUA 2;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160000;;;BICICLETA ARO 12 ABSOLUTE KIDS DINO;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160001;;;BICICLETA ARO 12 ABSOLUTE KIDS UNIC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
