CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;DESCRICAO_COMPONENTE
100010160052;   ;BICICLETA ARO 12 VIOLET 4 ;206010180002;0002  ;PINTURA GUIDAO ARO 12 BRANCO 
100010160052;   ;BICICLETA ARO 12 VIOLET 4 ;206010180009;0006  ;PINTURA QUADRO ARO 12 MOD02 LILAS 
100010160052;   ;BICICLETA ARO 12 VIOLET 4 ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160052;   ;BICICLETA ARO 12 VIOLET 4 ;504010130001;   ;TINTA EM PO BRANCA 
100010160052;   ;BICICLETA ARO 12 VIOLET 4 ;504010130025;   ;TINTA EM PO LILAS - BANDEIRANTES 
100010160053;   ;BICICLETA ARO 12 PETS ;206010180001;0028  ;PINTURA GARFO DIANTEIRO ARO 12 ROSA ME TALICO 
100010160053;   ;BICICLETA ARO 12 PETS ;206010180002;0028  ;PINTURA GUIDAO ARO 12 ROSA METALICO 
100010160053;   ;BICICLETA ARO 12 PETS ;206010180009;0028  ;PINTURA QUADRO ARO 12 MOD02 ROSA META LICO 
100010160053;   ;BICICLETA ARO 12 PETS ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160053;   ;BICICLETA ARO 12 PETS ;504010130001;   ;TINTA EM PO BRANCA 
100010160053;   ;BICICLETA ARO 12 PETS ;504010130037;   ;TINTA POLIESTER ROSA METALICO ARO 26 
100010160054;   ;BICICLETA ARO 12 FIRE MAN 11 ;206010180001;0002  ;PINTURA GARFO DIANTEIRO ARO 12 BRANCO 
100010160054;   ;BICICLETA ARO 12 FIRE MAN 11 ;206010180002;0002  ;PINTURA GUIDAO ARO 12 BRANCO 
100010160054;   ;BICICLETA ARO 12 FIRE MAN 11 ;206010180009;0004  ;PINTURA QUADRO ARO 12 MOD02 VERMELHO 
100010160054;   ;BICICLETA ARO 12 FIRE MAN 11 ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160054;   ;BICICLETA ARO 12 FIRE MAN 11 ;504010130001;   ;TINTA EM PO BRANCA 
100010160054;   ;BICICLETA ARO 12 FIRE MAN 11 ;504010130010;   ;TINTA EM PO VERMELHO 
100040160008;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;206010180001;0002  ;PINTURA GARFO DIANTEIRO ARO 12 BRANCO 
100040160008;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;206010180002;0002  ;PINTURA GUIDAO ARO 12 BRANCO 
100040160008;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;206010180009;0013  ;PINTURA QUADRO ARO 12 MOD02 ROSA ESCU RO 
100040160008;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100040160008;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;504010130001;   ;TINTA EM PO BRANCA 
100040160008;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;504010130002;   ;TINTA EM PO ROSA ESCURO 
100040160009;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;206010180001;0002  ;PINTURA GARFO DIANTEIRO ARO 12 BRANCO 
100040160009;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;206010180002;0001  ;PINTURA GUIDAO ARO 12 PRETO 
100040160009;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;206010180009;0002  ;PINTURA QUADRO ARO 12 MOD02 BRANCO 
100040160009;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100040160009;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;504010130001;   ;TINTA EM PO BRANCA 
100040160009;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;504010130007;   ;TINTA EM PO PRETA 
100040160010;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;206010180001;0002  ;PINTURA GARFO DIANTEIRO ARO 12 BRANCO 
100040160010;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;206010180002;0001  ;PINTURA GUIDAO ARO 12 PRETO 
100040160010;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;206010180009;0004  ;PINTURA QUADRO ARO 12 MOD02 VERMELHO 
100040160010;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100040160010;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;504010130001;   ;TINTA EM PO BRANCA 
100040160010;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;504010130007;   ;TINTA EM PO PRETA 
100040160010;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;504010130010;   ;TINTA EM PO VERMELHO 
100130160009;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180001;0001  ;PINTURA GARFO DIANTEIRO ARO 16 PRETO 
100130160009;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180002;0001  ;PINTURA GUIDAO ARO 16 PRETO 
100130160009;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180003;0001  ;PINTURA QUADRO ARO 16 PRETO 
100130160009;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160009;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160009;   ;BICICLETA ARO 16 TECH BOYS 5 ;504010130007;   ;TINTA EM PO PRETA 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;207010180001;0006  ;PINTURA GARFO DIANTEIRO ARO 16 LILAS BAN DEIRANTES 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;207010180002;0006  ;PINTURA GUIDAO ARO 16 LILAS BANDEIRANTE S 
