Programação Maio - Revisão 00;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
06/mai;60;SPIDER MAN;;06/mai;25;RAIADA AZUL;;;;;
07/mai;60;SPIDER MAN;;07/mai;25;RAIADA AZUL;;;;;
08/mai;60;SPIDER MAN;;08/mai;5;PEROLA;;;;;
09/mai;60;MINNIE;;09/mai;5;PEROLA;;;;;
12/mai;60;MINNIE;;12/mai;5;PEROLA;;;;;
13/mai;60;AZUL;;13/mai;5;PEROLA;;;;;
14/mai;60;PRETO;;14/mai;5;VERDE AQUA;;;;;
15/mai;60;STITCH;;15/mai;5;VERDE AQUA;;;;;
16/mai;60;STITCH;;16/mai;5;VERDE AQUA;;;;;
19/mai;60;ROSA;;19/mai;5;ROSA;;;;;
20/mai;60;ROSA;;20/mai;5;ROSA;;;;;
21/mai;60;UNICORNIO;;21/mai;5;ROSA;;;;;
22/mai;60;UNICORNIO;;22/mai;5;ROSA;;;;;
23/mai;60;UNICORNIO;;23/mai;5;PEROLA;;;;;
26/mai;100;SUPORTE PAREDE;;26/mai;5;PEROLA;;;;;
27/mai;100;SUPORTE PAREDE;;27/mai;5;PEROLA;;;;;
28/mai;100;SUPORTE PAREDE;;28/mai;5;VERDE AQUA;;;;;
29/mai;100;SUPORTE PAREDE;;29/mai;5;VERDE AQUA;;;;;
30/mai;100;SUPORTE PAREDE;;30/mai;5;VERDE AQUA;;;;;
