Programação Maio - Revisão 00;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;3.300;VIOLET;;02/mai;100;FEMININA;;02/mai;660;EXTREME;
05/mai;3.300;STITCH;;05/mai;100;FEMININA;;05/mai;660;EXTREME;
06/mai;3.300;CAT;;06/mai;100;FEMININA;;06/mai;660;APOLLO;
07/mai;3.300;SPIDER MAN;;07/mai;100;FEMININA;;07/mai;660;PIXIE;
08/mai;3.300;FLOWER;;08/mai;100;FEMININA;;08/mai;660;SPIDER MAN;
09/mai;3.300;FLOWER;;09/mai;100;FEMININA;;09/mai;660;SPIDER MAN;
12/mai;3.300;FIRE MAN;;12/mai;100;CECIZINHA;;12/mai;660;TECH BOYS;
13/mai;3.300;FIRE MAN;;13/mai;100;CECIZINHA;;13/mai;660;TECH BOYS;
14/mai;3.300;VELOZ;;14/mai;100;CECIZINHA;;14/mai;660;TECH BOYS;
15/mai;3.300;VELOZ;;15/mai;100;ZIGBIM;;15/mai;660;TOP GIRLS;
16/mai;3.300;BLACK;;16/mai;100;ZIGBIM;;16/mai;660;TOP GIRLS;
19/mai;3.300;BLACK;;19/mai;100;ZIGBIM;;19/mai;660;TOP GIRLS;
20/mai;3.300;BLACK;;20/mai;100;MASCULINA 4;;20/mai;660;HOT WHEELS;
21/mai;3.300;BLACK;;21/mai;100;MASCULINA 4;;21/mai;660;UNICORN NATHOR;
22/mai;3.300;SPIDER MAN;;22/mai;100;MASCULINA 4;;22/mai;660;PRINCESAS;
23/mai;3.300;MOTOR X;;23/mai;100;MASCULINA 4;;23/mai;660;BARBIE;
26/mai;3.300;MECHANIC;;26/mai;100;MASCULINA 4;;26/mai;660;CAPITAO AMERICA;
27/mai;3.300;VIOLET;;27/mai;100;MASCULINA 4;;27/mai;660;FROZEN;
28/mai;3.300;CHARM;;28/mai;100;MASCULINA 4;;28/mai;660;EXTREME;
29/mai;3.300;FLOWER;;29/mai;100;MASCULINA 4;;29/mai;660;SPIDER MAN;
30/mai;3.300;FLOWER;;30/mai;100;MASCULINA 4;;30/mai;660;SPIDER MAN;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 00;;;;;;;;;;;
Bicicletas aro 20;;;;Bicicletas Balance;;;;Triciclo;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;200;APOLLO;;02/mai;650;CALOI VERMELHA;;02/mai;850;BOY;
05/mai;200;APOLLO;;05/mai;650;CALOI VERMELHA;;05/mai;850;BOY;
06/mai;200;HOT WHEELS;;06/mai;650;FAST;;06/mai;850;BOY;
07/mai;200;BOLT;;07/mai;650;FAST;;07/mai;850;BOY;
08/mai;200;BELLA;;08/mai;650;MASCULINA;;08/mai;850;BOY;
09/mai;200;BELLA;;09/mai;650;MASCULINA;;09/mai;850;BOY;
12/mai;200;BELLA;;12/mai;650;MASCULINA;;12/mai;850;BOY;
13/mai;200;BARBIE;;13/mai;650;MASCULINA;;13/mai;850;GIRL;
14/mai;200;LOVELY;;14/mai;650;MASCULINA;;14/mai;850;GIRL;
15/mai;200;LOVELY;;15/mai;650;MASCULINA;;15/mai;850;GIRL;
16/mai;200;LOVELY;;16/mai;650;MASCULINA;;16/mai;850;GIRL;
19/mai;150;ANTONELLA ROSA;;19/mai;650;LOVE;;19/mai;850;GIRL;
20/mai;150;ANTONELLA VERDE;;20/mai;650;LOVE;;20/mai;850;GIRL;
21/mai;150;HARMONY PINK;;21/mai;650;FEMININA;;21/mai;850;KIDS;
22/mai;150;BLADE GREEN;;22/mai;650;FEMININA;;22/mai;850;KIDS;
23/mai;200;APOLLO;;23/mai;650;FEMININA;;23/mai;850;SPIDER MAN;
26/mai;200;APOLLO;;26/mai;650;ROCKET ASTRO;;26/mai;850;SPIDER MAN;
27/mai;200;APOLLO;;27/mai;650;CALOI VERMELHA;;27/mai;850;PRINCESAS;
28/mai;200;BELLA;;28/mai;650;FAST;;28/mai;850;PRINCESAS;
29/mai;200;BELLA;;29/mai;650;SPIDER MAN;;29/mai;850;HONEY BEE;
30/mai;200;LOVELY;;30/mai;650;PRINCESAS;;30/mai;850;HONEY BEE;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 00;;;;;;;;;;;
CAPACETE;;;;Bicicletas aro 26;;;;;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;;;;
02/mai;60;SPIDER MAN;;02/mai;25;RAIADA ROSA;;;;;
05/mai;60;SPIDER MAN;;05/mai;25;RAIADA ROSA;;;;;
