Programação Maio - Revisão 03;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;3.500;CAT;;02/mai;50;FEMININA 5;;02/mai;660;EXTREME;
05/mai;3.500;VIOLET;;05/mai;50;FEMININA 5;;05/mai;660;UNICORN NATHOR;
06/mai;3.500;STITCH;;06/mai;50;FEMININA 5;;06/mai;660;PIXIE;
07/mai;3.500;SPIDER MAN;;07/mai;50;FEMININA 5;;07/mai;660;SPIDER MAN;
08/mai;3.500;PRINCESAS;;08/mai;50;FEMININA 5;;08/mai;660;SPIDER MAN;
09/mai;3.500;FLOWER;;09/mai;50;FEMININA 5;;09/mai;660;APOLLO;
12/mai;3.500;FLOWER;;12/mai;50;CECIZINHA;;12/mai;660;TECH BOYS;
13/mai;3.500;VELOZ;;13/mai;50;CECIZINHA;;13/mai;660;TECH BOYS;
14/mai;3.500;MECHANIC;;14/mai;50;CECIZINHA;;14/mai;660;HOT WHEELS;
15/mai;3.500;MICKEY;;15/mai;50;ZIGBIM;;15/mai;245;EXTREME;
16/mai;3.500;MINNIE;;16/mai;50;ZIGBIM;;;415;INFANTI LARANJA;
19/mai;3.500;BLACK;;19/mai;50;ZIGBIM;;16/mai;415;INFANTI ROSA;
20/mai;2.250;BLACK;;20/mai;50;MASCULINA 4;;;245;TOP GIRLS;
;1.250;INFANTI PT/VD;;21/mai;50;MASCULINA 4;;19/mai;660;LADY;
21/mai;3.500;HOT WHEELS;;22/mai;50;MASCULINA 4;;20/mai;660;HOT WHEELS;
22/mai;3.500;PETS;;23/mai;50;MASCULINA 4;;21/mai;660;UNICORN NATHOR;
23/mai;1.250;INFANTI RS/VD;;26/mai;50;MASCULINA 4;;22/mai;660;PRINCESAS;
;2.250;CHARM;;27/mai;50;MASCULINA 4;;23/mai;660;BARBIE;
26/mai;3.500;SPIDER MAN;;28/mai;50;MASCULINA 4;;26/mai;660;CAPITAO AMERICA;
27/mai;3.500;FLOWER;;29/mai;50;MASCULINA 4;;27/mai;660;HOMEM DE FERRO;
28/mai;3.500;FLOWER;;30/mai;50;MASCULINA 4;;28/mai;660;PIXIE;
29/mai;3.500;FIREMAN;;;;;;29/mai;660;SPIDER MAN;
30/mai;3.500;BLACK;;;;;;30/mai;660;SPIDER MAN;
;;;;;;;;Abril  = produzir para estoque 550 pares de roda raiada 20 furos ;;;
;;;;;;;;Maio  = produzir para estoque 550 pares de roda raiada 20 furos ;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 03;;;;;;;;;;;
Bicicletas aro 20;;;;Bicicletas Balance;;;;Triciclo;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;200;APOLLO;;02/mai;650;CALOI VERMELHA;;02/mai;850;BOY;
05/mai;200;APOLLO;;05/mai;650;CALOI VERMELHA;;05/mai;850;BOY;
06/mai;200;HOT WHEELS;;06/mai;650;FAST;;06/mai;850;BOY;
07/mai;200;BOLT;;07/mai;650;FAST;;07/mai;850;BOY;
08/mai;200;BELLA;;08/mai;650;MASCULINA;;08/mai;850;BOY;
09/mai;200;BELLA;;09/mai;650;MASCULINA;;09/mai;850;BOY;
12/mai;200;BELLA;;12/mai;650;MASCULINA;;12/mai;850;BOY;
13/mai;200;BARBIE;;13/mai;650;MASCULINA;;13/mai;850;GIRL;
14/mai;200;LOVELY;;14/mai;650;MASCULINA;;14/mai;850;GIRL;
15/mai;200;LOVELY;;15/mai;650;MASCULINA;;15/mai;850;GIRL;
16/mai;100;MISTIGIRL ( TINTA );;16/mai;650;MASCULINA;;16/mai;850;GIRL;
;100;ORIGINAL 120 ROSA ( TINTA );;19/mai;650;LOVE;;19/mai;850;GIRL;
19/mai;150;ANTONELLA ROSA;;20/mai;650;LOVE;;20/mai;850;GIRL;
20/mai;150;ANTONELLA ROSA;;21/mai;650;FEMININA;;21/mai;850;GIRL;
21/mai;150;ANTONELLA VERDE;;22/mai;650;FEMININA;;22/mai;850;GIRL;
22/mai;200;BELLA 03 (ADESIVO NOVO);;23/mai;650;FEMININA;;23/mai;850;KIDS 5;
23/mai;200;BELLA 03 (ADESIVO NOVO);;26/mai;650;ROCKET ASTRO;;26/mai;850;KIDS 5;
26/mai;200;LOVELY;;27/mai;650;CALOI VERMELHA;;27/mai;850;SPIDEMAN;
27/mai;150;BLADE GREEN;;28/mai;650;FAST;;28/mai;850;SPIDEMAN;
28/mai;200;APOLLO;;29/mai;650;SPIDER MAN;;29/mai;850;HONEY BEE;
29/mai;200;APOLLO;;30/mai;650;PRINCESAS;;30/mai;850;HONEY BEE;
30/mai;200;APOLLO;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 03;;;;;;;;;;;
CAPACETE;;;;Bicicletas aro 26;;;;;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;;;;
02/mai;100;POLIPLAC VERMELHO;;02/mai;25;RAIADA ROSA;;;;;
;20;CORAL PINK;;05/mai;25;RAIADA ROSA;;;;;
05/mai;120;CORAL PINK;;06/mai;25;RAIADA AZUL;;;;;
06/mai;120;AZUL;;07/mai;25;RAIADA AZUL;;;;;
07/mai;120;MINNIE;;08/mai;5;PEROLA;;;;;
08/mai;120;STITCH;;09/mai;5;PEROLA;;;;;
09/mai;120;PRINCESAS;;12/mai;5;PEROLA;;;;;
12/mai;120;SPIDERMAN;;13/mai;5;PEROLA;;;;;
13/mai;120;SPIDERMAN;;14/mai;5;VERDE AQUA;;;;;
14/mai;120;UNICORNIO;;15/mai;5;VERDE AQUA;;;;;
15/mai;120;TURQUEZA;;16/mai;5;VERDE AQUA;;;;;
16/mai;120;PRETO;;19/mai;5;ROSA;;;;;
19/mai;120;ROSA ESCURO;;20/mai;5;ROSA;;;;;
20/mai;120;AZUL;;21/mai;5;ROSA;;;;;
21/mai;120;MINNIE;;22/mai;25;RAIADA 900 AMARELO ( TINTA );;;;;
22/mai;120;PRINCESAS;;23/mai;5;CINZA;;;;;
23/mai;120;STITCH;;26/mai;5;CINZA;;;;;
26/mai;120;SPIDERMAN;;27/mai;5;PEROLA;;;;;
27/mai;120;SPIDERMAN;;28/mai;5;PEROLA;;;;;
28/mai;120;SPIDERMAN;;29/mai;5;PEROLA;;;;;
29/mai;100;SUPORTE PAREDE;;30/mai;5;VERDE AQUA;;;;;
30/mai;100;SUPORTE PAREDE;;;;;;;;;
