CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;Componente;LINHA;DESCRICAO_COMPONENTE;DESC_COR;CODIGO_COR;DESCRICAO_COR;Linha;Peças p/ gancheira;Espaçamento;PINOS ;Estoque Gancheiras;Altura;Largura;Peso (kg)
100010160047.0;   ;BICICLETA ARO 12 MECHANIC ;206010180001.0;0001  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100010160047.0;   ;BICICLETA ARO 12 MECHANIC ;206010180002.0;0001  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100010160047.0;   ;BICICLETA ARO 12 MECHANIC ;206010180009.0;0001  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100010160047.0;   ;BICICLETA ARO 12 MECHANIC ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100010160047.0;   ;BICICLETA ARO 12 MECHANIC ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100010160047.0;   ;BICICLETA ARO 12 MECHANIC ;504010130007.0;   ;;;TINTA EM PO PRETA ;;;;;;;;;;;
100010160048.0;   ;BICICLETA ARO 12 MOTOR X ;206010180001.0;0001  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100010160048.0;   ;BICICLETA ARO 12 MOTOR X ;206010180002.0;0001  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100010160048.0;   ;BICICLETA ARO 12 MOTOR X ;206010180009.0;0004  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 VERMELHO ;vermelho;504010130010.0;TINTA EM PO VERMELHO;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100010160048.0;   ;BICICLETA ARO 12 MOTOR X ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100010160048.0;   ;BICICLETA ARO 12 MOTOR X ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100010160048.0;   ;BICICLETA ARO 12 MOTOR X ;504010130007.0;   ;;;TINTA EM PO PRETA ;;;;;;;;;;;
100010160048.0;   ;BICICLETA ARO 12 MOTOR X ;504010130010.0;   ;;;TINTA EM PO VERMELHO ;;;;;;;;;;;
100010160050.0;   ;BICICLETA ARO 12 CHARM ;206010180001.0;0007  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 ROSA CLA R ;rosa claro;504010130015.0;TINTA EM PO ROSA CLARO;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100010160050.0;   ;BICICLETA ARO 12 CHARM ;206010180002.0;0007  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 ROSA CLARO ;rosa claro;504010130015.0;TINTA EM PO ROSA CLARO;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100010160050.0;   ;BICICLETA ARO 12 CHARM ;206010180009.0;0007  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 ROSA CLAR O ;rosa claro;504010130015.0;TINTA EM PO ROSA CLARO;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100010160050.0;   ;BICICLETA ARO 12 CHARM ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100010160050.0;   ;BICICLETA ARO 12 CHARM ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100010160050.0;   ;BICICLETA ARO 12 CHARM ;504010130015.0;   ;;;TINTA EM PO ROSA CLARO ;;;;;;;;;;;
100010160052.0;   ;BICICLETA ARO 12 VIOLET 4 ;206010180001.0;0002  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100010160052.0;   ;BICICLETA ARO 12 VIOLET 4 ;206010180002.0;0002  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100010160052.0;   ;BICICLETA ARO 12 VIOLET 4 ;206010180009.0;0006  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 LILAS ;lilas - bandeirantes;504010130025.0;TINTA EM PO LILAS - BANDEIRANTES;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100010160052.0;   ;BICICLETA ARO 12 VIOLET 4 ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100010160052.0;   ;BICICLETA ARO 12 VIOLET 4 ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100010160052.0;   ;BICICLETA ARO 12 VIOLET 4 ;504010130025.0;   ;;;TINTA EM PO LILAS - BANDEIRANTES ;;;;;;;;;;;
100010160053.0;   ;BICICLETA ARO 12 PETS ;206010180001.0;0028  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 ROSA ME TALICO ;rosa metalico aro 26;504010130037.0;TINTA POLIESTER ROSA METALICO ARO 26;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100010160053.0;   ;BICICLETA ARO 12 PETS ;206010180002.0;0028  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 ROSA METALICO ;rosa metalico aro 26;504010130037.0;TINTA POLIESTER ROSA METALICO ARO 26;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100010160053.0;   ;BICICLETA ARO 12 PETS ;206010180009.0;0028  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 ROSA META LICO ;rosa metalico aro 26;504010130037.0;TINTA POLIESTER ROSA METALICO ARO 26;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100010160053.0;   ;BICICLETA ARO 12 PETS ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100010160053.0;   ;BICICLETA ARO 12 PETS ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100010160053.0;   ;BICICLETA ARO 12 PETS ;504010130037.0;   ;;;TINTA POLIESTER ROSA METALICO ARO 26 ;;;;;;;;;;;
100010160054.0;   ;BICICLETA ARO 12 FIRE MAN 11 ;206010180001.0;0002  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100010160054.0;   ;BICICLETA ARO 12 FIRE MAN 11 ;206010180002.0;0002  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100010160054.0;   ;BICICLETA ARO 12 FIRE MAN 11 ;206010180009.0;0004  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 VERMELHO ;vermelho;504010130010.0;TINTA EM PO VERMELHO;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100010160054.0;   ;BICICLETA ARO 12 FIRE MAN 11 ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100010160054.0;   ;BICICLETA ARO 12 FIRE MAN 11 ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100010160054.0;   ;BICICLETA ARO 12 FIRE MAN 11 ;504010130010.0;   ;;;TINTA EM PO VERMELHO ;;;;;;;;;;;
100040160008.0;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;206010180001.0;0002  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100040160008.0;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;206010180002.0;0002  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100040160008.0;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;206010180009.0;0013  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 ROSA ESCU RO ;rosa escuro;504010130002.0;TINTA EM PO ROSA ESCURO;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100040160008.0;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100040160008.0;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100040160008.0;   ;KIT BICICLETA ARO 12 FEMININA ROSA ;504010130002.0;   ;;;TINTA EM PO ROSA ESCURO ;;;;;;;;;;;
100040160009.0;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;206010180001.0;0002  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100040160009.0;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;206010180002.0;0001  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100040160009.0;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;206010180009.0;0002  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
100040160009.0;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100040160009.0;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100040160009.0;   ;KIT BICICLETA ARO 12 MASCULINA BRANCA ;504010130007.0;   ;;;TINTA EM PO PRETA ;;;;;;;;;;;
100040160010.0;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;206010180001.0;0002  ;Garfo 12;Aro 12;PINTURA GARFO DIANTEIRO ARO 12 BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;24.0;1,20;1.0;114.0;1,75;73c ;5,400
100040160010.0;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;206010180002.0;0001  ;Guidão 12;Aro 12;PINTURA GUIDAO ARO 12 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 12;26.0;1,20;1.0;116.0;1,94;23c;2,480
100040160010.0;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;206010180009.0;0004  ;Quadro 12;Aro 12;PINTURA QUADRO ARO 12 MOD02 VERMELHO ;vermelho;504010130010.0;TINTA EM PO VERMELHO;Aro 12;8.0;0,90;1.0;166.0;1,75;30c;2,300
